model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
Qwen3VL,Data_Without_Comments_Description,Description_Reason,0.2164,0.05,0.26752764343147795,0.204,0.41428141902387144,0.4117308557033539,0.16562779069472308,0.324,0.688,0.108,0.58,0.3153407095119357
Qwen3VL,Data_Without_Comments_Description,Description_Fewshot,0.2114,0.1,0.25238866852535197,0.2,0.39060038489103316,0.3833502233028412,0.1931306521338588,0.308,0.652,0.08,0.572,0.30100019244551657
Qwen3VL,Dataset_DeadCode_Description,Description_Simple,0.06080000000000001,0.0,0.1520636708750647,0.032,0.3209068685211241,0.3068782687187195,0.1620478683114429,0.128,0.872,0.016,0.856,0.19085343426056206
Qwen3VL,Dataset_DeadCode_Description,Description_Fewshot,0.074,0.0,0.17861690849412887,0.052,0.29479862945526836,0.284881129860878,0.17387042829118168,0.14,0.84,0.016,0.824,0.18439931472763418
Qwen3VL,Dataset_DeadCode_Description,Description_Reason,0.06,0.0,0.1374772708486752,0.036,0.3034521765038371,0.29199494421482086,0.15350760692371612,0.132,0.864,0.016,0.848,0.18172608825191855
Qwen3VL,Dataset_DeadCode_Description,Description_Vague,0.060200000000000004,0.0,0.12339351684752323,0.024,0.26762332168221475,0.2547518312931061,0.16046149944518914,0.08,0.904,0.004,0.9,0.16391166084110737
Qwen3VL,Dataset_DeadCode_Description,Description_Detailed,0.0496,0.0,0.1254585190411556,0.024,0.27450999942049387,0.2703402638435364,0.17462776823987233,0.108,0.868,0.0,0.868,0.16205499971024692
Qwen3VL,Dataset_Encryption_Description,Description_Simple,0.0414,0.0,0.11805100592540498,0.024,0.27552638740465046,0.25046783685684204,0.15342329290033618,0.1,0.908,0.016,0.892,0.15846319370232523
Qwen3VL,Dataset_Encryption_Description,Description_Reason,0.056,0.0,0.15140673697032112,0.044,0.24964534210786224,0.2230224758386612,0.15203943506436707,0.064,0.908,0.008,0.9,0.15282267105393113
Qwen3VL,Dataset_Encryption_Description,Description_Fewshot,0.032600000000000004,0.0,0.09893048064171123,0.016,0.2549402046240866,0.22156502306461334,0.1686377664381102,0.104,0.88,0.0,0.88,0.14377010231204332
Qwen3VL,Dataset_Encryption_Description,Description_Detailed,0.045,0.0,0.11876447280226525,0.028,0.21970098797604443,0.20030558854341507,0.14848532522706315,0.056,0.916,0.0,0.916,0.1323504939880222
Qwen3VL,Dataset_Encryption_Description,Description_Vague,0.047200000000000006,0.0,0.10766689370461098,0.012,0.2089412812292576,0.17648427188396454,0.14394881871903584,0.052,0.944,0.004,0.94,0.1280706406146288
Qwen3VL,Dataset_With_Comments_Description,Description_Reason,0.37,0.35,0.31006450941699215,0.404,0.4580080027617514,0.4505751132965088,0.1676566328154977,0.4,0.532,0.168,0.364,0.4140040013808757
Qwen3VL,Dataset_With_Comments_Description,Description_Simple,0.3404,0.32499999999999996,0.3025356838457242,0.316,0.46494671343266963,0.47371597588062286,0.18462534686867646,0.452,0.56,0.164,0.396,0.4026733567163348
Qwen3VL,Dataset_With_Comments_Description,Description_Fewshot,0.3712,0.35,0.3203288310470976,0.408,0.4027720588892698,0.40305323898792267,0.2038676850434477,0.336,0.584,0.164,0.42,0.3869860294446349
Qwen3VL,Dataset_Without_Comments_Description,Description_Simple,0.2368,0.15000000000000002,0.2600879851127306,0.208,0.41844797440618275,0.41181807219982147,0.1642048899856647,0.308,0.692,0.104,0.588,0.3276239872030914
Qwen3VL,Dataset_Without_Comments_Description,Description_Reason,0.2164,0.05,0.26752764343147795,0.204,0.41428141902387144,0.4117308557033539,0.16562779069472308,0.324,0.688,0.108,0.58,0.3153407095119357
Qwen3VL,Dataset_Without_Comments_Description,Description_Fewshot,0.2114,0.1,0.25238866852535197,0.2,0.39060038489103316,0.3833502233028412,0.1931306521338588,0.308,0.652,0.08,0.572,0.30100019244551657
Qwen3VL,Variable_Renaming_Description,Description_Detailed,0.0732,0.0,0.1801159626462907,0.06,0.3538973465189338,0.33896613121032715,0.15924339005801566,0.204,0.776,0.02,0.756,0.2135486732594669
Qwen3VL,Variable_Renaming_Description,Description_Vague,0.07840000000000001,0.0,0.16950940976830756,0.036,0.33156527633219957,0.3262457251548767,0.16007955822658884,0.144,0.852,0.016,0.836,0.2049826381660998
Qwen3VL,Variable_Renaming_Description,Description_Simple,0.07859999999999999,0.0,0.172545762045899,0.052,0.3138977202475071,0.291599377989769,0.17164567330971625,0.168,0.804,0.012,0.792,0.19624886012375356
Qwen3VL,Variable_Renaming_Description,Description_Reason,0.069,0.0,0.16795535120977836,0.04,0.29097958318144085,0.2779138833284378,0.15969670945636158,0.104,0.88,0.012,0.868,0.17998979159072043
Qwen3VL,Variable_Renaming_Description,Description_Fewshot,0.06,0.0,0.13243866504914642,0.032,0.2969446130618453,0.2854321748018265,0.1795357759524818,0.132,0.86,0.012,0.848,0.17847230653092264
codellama,Data_With_Comments_Description,Description_Simple,0.24480000000000002,0.1,0.28953922014124445,0.304,0.3507105631269515,0.3490947186946869,0.2101325570911322,0.28,0.616,0.1,0.516,0.29775528156347575
codellama,Data_With_Comments_Description,Description_Fewshot,0.21980000000000002,0.05,0.28771159170252425,0.268,0.2159948814008385,0.18950167298316956,0.15138346991219487,0.052,0.712,0.016,0.696,0.21789744070041928
codellama,Data_With_Comments_Description,Description_Reason,0.2298,0.05,0.2773120264251084,0.304,0.17961988765001297,0.16205786913633347,0.13059412208346197,0.024,0.696,0.012,0.684,0.20470994382500649
codellama,Data_Without_Comments_Description,Description_Simple,0.16119999999999998,0.0,0.24534579678486443,0.18,0.3579117404893041,0.3480949401855469,0.1981229207721766,0.272,0.676,0.064,0.612,0.25955587024465204
codellama,Data_Without_Comments_Description,Description_Fewshot,0.1784,0.0,0.2624374973207907,0.236,0.2090121862757951,0.19206015765666962,0.13900864339384544,0.036,0.768,0.02,0.748,0.19370609313789755
codellama,Data_Without_Comments_Description,Description_Reason,0.203,0.05,0.2723618916074714,0.268,0.16260205584950746,0.14450105279684067,0.1216494949501906,0.02,0.72,0.004,0.716,0.18280102792475372
codellama,Dataset_DeadCode_Description,Description_Vague,0.0964,0.0,0.19785610933200923,0.1,0.3166993198208511,0.3044039160013199,0.15893918109628155,0.148,0.784,0.016,0.768,0.20654965991042554
codellama,Dataset_DeadCode_Description,Description_Simple,0.1096,0.0,0.20250392588787014,0.12,0.295218998413533,0.29206906259059906,0.19064479148156444,0.164,0.772,0.028,0.744,0.20240949920676649
codellama,Dataset_DeadCode_Description,Description_Detailed,0.1006,0.0,0.20324773061463686,0.132,0.24680116227641702,0.21673650294542313,0.1493404265804652,0.072,0.796,0.0,0.796,0.17370058113820852
codellama,Dataset_DeadCode_Description,Description_Fewshot,0.11259999999999999,0.0,0.2121113858330099,0.144,0.1903074515853077,0.17740850895643234,0.13406146424782658,0.028,0.844,0.008,0.836,0.15145372579265384
codellama,Dataset_DeadCode_Description,Description_Reason,0.114,0.0,0.22267465055546848,0.132,0.17376096745207906,0.16064155846834183,0.11326522066853639,0.012,0.864,0.004,0.86,0.14388048372603954
codellama,Dataset_Encryption_Description,Description_Vague,0.075,0.0,0.18078993334807114,0.1,0.306455761063844,0.2921392172574997,0.15744378549192417,0.116,0.824,0.02,0.804,0.190727880531922
codellama,Dataset_Encryption_Description,Description_Simple,0.07740000000000001,0.0,0.18745463451192665,0.108,0.25029751360230146,0.21812444925308228,0.16506659371752447,0.1,0.808,0.008,0.8,0.16384875680115074
codellama,Dataset_Encryption_Description,Description_Fewshot,0.07540000000000001,0.0,0.18145203222890616,0.124,0.1909952960163355,0.17825867235660553,0.11673092445472384,0.028,0.856,0.004,0.852,0.13319764800816775
codellama,Dataset_Encryption_Description,Description_Detailed,0.0762,0.0,0.1928822438691545,0.096,0.18947510401718318,0.1638256534934044,0.1254096820720791,0.032,0.872,0.0,0.872,0.1328375520085916
codellama,Dataset_Encryption_Description,Description_Reason,0.0876,0.0,0.21224099509755412,0.12,0.17397752967849373,0.16240619122982025,0.11410680297230769,0.016,0.88,0.008,0.872,0.13078876483924687
codellama,Dataset_With_Comments_Description,Description_Simple,0.24480000000000002,0.1,0.28953922014124445,0.304,0.3507105631269515,0.3490947186946869,0.2101325570911322,0.28,0.616,0.1,0.516,0.29775528156347575
codellama,Dataset_With_Comments_Description,Description_Fewshot,0.21980000000000002,0.05,0.28771159170252425,0.268,0.2159948814008385,0.18950167298316956,0.15138346991219487,0.052,0.712,0.016,0.696,0.21789744070041928
codellama,Dataset_With_Comments_Description,Description_Reason,0.2298,0.05,0.2773120264251084,0.304,0.17961988765001297,0.16205786913633347,0.13059412208346197,0.024,0.696,0.012,0.684,0.20470994382500649
codellama,Dataset_Without_Comments_Description,Description_Simple,0.16119999999999998,0.0,0.24534579678486443,0.18,0.3579117404893041,0.3480949401855469,0.1981229207721766,0.272,0.676,0.064,0.612,0.25955587024465204
codellama,Dataset_Without_Comments_Description,Description_Fewshot,0.1784,0.0,0.2624374973207907,0.236,0.2090121862757951,0.19206015765666962,0.13900864339384544,0.036,0.768,0.02,0.748,0.19370609313789755
codellama,Dataset_Without_Comments_Description,Description_Reason,0.203,0.05,0.2723618916074714,0.268,0.16260205584950746,0.14450105279684067,0.1216494949501906,0.02,0.72,0.004,0.716,0.18280102792475372
codellama,Variable_Renaming_Description,Description_Simple,0.1018,0.0,0.20402637084455527,0.116,0.31595585208758714,0.3096220940351486,0.1884213076978881,0.18,0.76,0.028,0.732,0.20887792604379357
codellama,Variable_Renaming_Description,Description_Vague,0.105,0.0,0.19830532015051944,0.1,0.29542516157776116,0.27368511259555817,0.16876025629518618,0.124,0.8,0.012,0.788,0.20021258078888057
codellama,Variable_Renaming_Description,Description_Detailed,0.12040000000000001,0.0,0.21326940708878053,0.152,0.2709764760695398,0.24294812977313995,0.16053079414615176,0.096,0.792,0.02,0.772,0.1956882380347699
codellama,Variable_Renaming_Description,Description_Fewshot,0.11359999999999999,0.0,0.2272774515872615,0.128,0.1889097942560911,0.17780447751283646,0.1211901224282786,0.008,0.864,0.0,0.864,0.15125489712804555
codellama,Variable_Renaming_Description,Description_Reason,0.1082,0.0,0.20494574891907372,0.144,0.1664813644476235,0.15915311872959137,0.09831084479481356,0.004,0.852,0.0,0.852,0.13734068222381174
deepseek-r1,Dataset_DeadCode_Description,Description_Fewshot,0.6828000000000001,0.75,0.2431957236466135,0.788,0.5612349927425384,0.5799261331558228,0.14277286802468664,0.688,0.644,0.56,0.084,0.6220174963712692
deepseek-r1,Dataset_DeadCode_Description,Description_Simple,0.674,0.75,0.25397637685422636,0.804,0.5371564691066741,0.5503576993942261,0.15177932952178488,0.628,0.6,0.516,0.084,0.6055782345533371
deepseek-r1,Dataset_DeadCode_Description,Description_Reason,0.6712,0.75,0.24773082165931634,0.784,0.5237337351441383,0.5357098579406738,0.14078005175363964,0.58,0.644,0.504,0.14,0.5974668675720691
deepseek-r1,Dataset_DeadCode_Description,Description_Detailed,0.679,0.75,0.2589382165691268,0.772,0.49166266539692877,0.5030344128608704,0.14645165254471307,0.516,0.568,0.428,0.14,0.5853313326984644
deepseek-r1,Dataset_DeadCode_Description,Description_Vague,0.6982,0.75,0.2576562826713139,0.796,0.4612104078680277,0.47888927161693573,0.1757405641765521,0.456,0.548,0.4,0.148,0.5797052039340138
deepseek-r1,Dataset_Encryption_Description,Description_Fewshot,0.49240000000000006,0.5,0.29567252155044776,0.508,0.5017878049314022,0.5210024118423462,0.15142943166230802,0.536,0.548,0.296,0.252,0.4970939024657011
deepseek-r1,Dataset_Encryption_Description,Description_Simple,0.5006,0.5,0.3047452050484142,0.548,0.47594077259302137,0.4800553023815155,0.14872146862422217,0.408,0.54,0.248,0.292,0.4882703862965107
deepseek-r1,Dataset_Encryption_Description,Description_Detailed,0.5038,0.5,0.2953228064339089,0.532,0.4703975760638714,0.47670021653175354,0.1521078601975166,0.436,0.592,0.28,0.312,0.48709878803193574
deepseek-r1,Dataset_Encryption_Description,Description_Reason,0.49040000000000006,0.5,0.3076488907829833,0.536,0.4699339470565319,0.47488319873809814,0.14741893034318593,0.424,0.552,0.256,0.296,0.480166973528266
deepseek-r1,Dataset_Encryption_Description,Description_Vague,0.4736,0.5,0.3004047935702758,0.504,0.38666550697386265,0.38706132769584656,0.15956182792336243,0.24,0.56,0.152,0.408,0.43013275348693136
deepseek-r1,Dataset_With_Comments_Description,Description_Fewshot,0.6896,0.75,0.23240447499994488,0.84,0.5621517540216446,0.5637967884540558,0.14017954357077977,0.664,0.64,0.572,0.068,0.6258758770108224
deepseek-r1,Dataset_With_Comments_Description,Description_Simple,0.6636,0.75,0.22811190236373025,0.804,0.5620514216423035,0.5769246816635132,0.1462008436114159,0.664,0.644,0.556,0.088,0.6128257108211517
deepseek-r1,Dataset_With_Comments_Description,Description_Reason,0.686,0.75,0.24253659517689286,0.828,0.535410950422287,0.533551812171936,0.13988174793479985,0.568,0.564,0.48,0.084,0.6107054752111436
deepseek-r1,Dataset_Without_Comments_Description,Description_Fewshot,0.6938000000000001,0.75,0.23197318810586712,0.836,0.5764273525476455,0.5972366333007812,0.13941614186530024,0.688,0.636,0.58,0.056,0.6351136762738228
deepseek-r1,Dataset_Without_Comments_Description,Description_Reason,0.7034,0.75,0.2249409700343626,0.824,0.5419812380671502,0.5506205260753632,0.1399107617298783,0.62,0.604,0.524,0.08,0.622690619033575
deepseek-r1,Dataset_Without_Comments_Description,Description_Simple,0.6646,0.75,0.24490169456334923,0.788,0.5605718887448311,0.5775997340679169,0.1455919034278759,0.672,0.676,0.568,0.108,0.6125859443724155
deepseek-r1,Variable_Renaming_Description,Description_Fewshot,0.6722,0.75,0.24383838910229047,0.78,0.5563639944791794,0.5652470290660858,0.1503544170090847,0.668,0.672,0.56,0.112,0.6142819972395896
deepseek-r1,Variable_Renaming_Description,Description_Simple,0.6742,0.75,0.24593568264893975,0.8,0.5373478905558586,0.5453945994377136,0.15894076315933725,0.588,0.612,0.5,0.112,0.6057739452779294
deepseek-r1,Variable_Renaming_Description,Description_Detailed,0.672,0.75,0.2589131128390372,0.78,0.5275707432031631,0.5395930111408234,0.15156670094442481,0.604,0.64,0.512,0.128,0.5997853716015815
deepseek-r1,Variable_Renaming_Description,Description_Vague,0.6858000000000001,0.75,0.2363648874092766,0.816,0.49838966858386996,0.5295125246047974,0.17484827603141417,0.576,0.624,0.508,0.116,0.592094834291935
deepseek-r1,Variable_Renaming_Description,Description_Reason,0.6474,0.75,0.2542110147102206,0.736,0.5191230180859566,0.5284912586212158,0.1498646834065495,0.564,0.612,0.456,0.156,0.5832615090429782
deepseek-v3.1,Dataset_DeadCode_Description,Description_Simple,0.6752,0.75,0.25695322531542586,0.764,0.54430910217762,0.5626466870307922,0.14729422702462058,0.648,0.644,0.528,0.116,0.60975455108881
deepseek-v3.1,Dataset_DeadCode_Description,Description_Fewshot,0.6536000000000001,0.75,0.24638798672013212,0.768,0.5524836218953133,0.561948150396347,0.15247601721672482,0.656,0.64,0.532,0.108,0.6030418109476567
deepseek-v3.1,Dataset_DeadCode_Description,Description_Reason,0.6838000000000001,0.75,0.24537228857391374,0.804,0.5189391966462136,0.5228794515132904,0.13691260046050935,0.56,0.596,0.48,0.116,0.6013695983231069
deepseek-v3.1,Dataset_DeadCode_Description,Description_Detailed,0.6664,0.75,0.23586233272822518,0.8,0.5216498770415783,0.5273201167583466,0.1510012091677664,0.58,0.604,0.492,0.112,0.5940249385207892
deepseek-v3.1,Dataset_DeadCode_Description,Description_Vague,0.6888000000000001,0.75,0.2363356934531896,0.828,0.20942525241337717,0.18392055481672287,0.1483032316411606,0.04,0.196,0.032,0.164,0.4491126262066886
deepseek-v3.1,Dataset_Encryption_Description,Description_Detailed,0.4172,0.44999999999999996,0.28931671227220873,0.372,0.48551384979486467,0.49129946529865265,0.15591823812918215,0.476,0.6,0.224,0.376,0.45135692489743234
deepseek-v3.1,Dataset_Encryption_Description,Description_Simple,0.4308,0.45,0.304123922110708,0.448,0.4539492192566395,0.4549301564693451,0.1546172271753083,0.412,0.628,0.244,0.384,0.44237460962831976
deepseek-v3.1,Dataset_Encryption_Description,Description_Fewshot,0.39540000000000003,0.375,0.29649424952265097,0.392,0.48523668748140336,0.4855886250734329,0.1578643791526494,0.456,0.6,0.224,0.376,0.44031834374070167
deepseek-v3.1,Dataset_Encryption_Description,Description_Reason,0.4058,0.4,0.2816671084809158,0.38,0.45159518444538116,0.4537103474140167,0.14749219954814338,0.408,0.636,0.212,0.424,0.42869759222269055
deepseek-v3.1,Dataset_Encryption_Description,Description_Vague,0.4208,0.4,0.28990922717292045,0.432,0.401740798830986,0.41269272565841675,0.1553398340629073,0.272,0.6,0.152,0.448,0.41127039941549304
deepseek-v3.1,Dataset_With_Comments_Description,Description_Fewshot,0.6808000000000001,0.75,0.2413946146872378,0.784,0.5672774782776833,0.5910660624504089,0.14643128512870215,0.676,0.652,0.556,0.096,0.6240387391388417
deepseek-v3.1,Dataset_With_Comments_Description,Description_Simple,0.6688000000000001,0.75,0.22809331423783558,0.796,0.5656374403834343,0.5831564962863922,0.1508189681523435,0.672,0.668,0.568,0.1,0.6172187201917172
deepseek-v3.1,Dataset_With_Comments_Description,Description_Reason,0.6538,0.75,0.24761978919302877,0.764,0.538577495276928,0.5490013062953949,0.13997914347761214,0.628,0.632,0.512,0.12,0.596188747638464
deepseek-v3.1,Dataset_Without_Comments_Description,Description_Fewshot,0.6916,0.75,0.2320117238417059,0.812,0.5844146694540977,0.6079070270061493,0.14206062048568535,0.74,0.664,0.608,0.056,0.6380073347270488
deepseek-v3.1,Dataset_Without_Comments_Description,Description_Simple,0.6644,0.75,0.23894066208998418,0.772,0.5759042398929596,0.5977417528629303,0.1516306900301747,0.704,0.644,0.56,0.084,0.6201521199464798
deepseek-v3.1,Dataset_Without_Comments_Description,Description_Reason,0.6742,0.75,0.24228982644758323,0.788,0.5450981504321099,0.5542391538619995,0.1364836822782449,0.648,0.636,0.536,0.1,0.6096490752160549
deepseek-v3.1,Variable_Renaming_Description,Description_Fewshot,0.6354,0.75,0.27147161914277523,0.72,0.5648490203619003,0.5881617367267609,0.15468049119462282,0.692,0.692,0.552,0.14,0.6001245101809501
deepseek-v3.1,Variable_Renaming_Description,Description_Simple,0.6494,0.75,0.26662640529399934,0.736,0.5462252746522427,0.5625865459442139,0.16153906623145503,0.636,0.62,0.496,0.124,0.5978126373261213
deepseek-v3.1,Variable_Renaming_Description,Description_Detailed,0.6398,0.725,0.2584297970436072,0.752,0.5502130749225617,0.558350533246994,0.15275313572217317,0.668,0.7,0.56,0.14,0.5950065374612808
deepseek-v3.1,Variable_Renaming_Description,Description_Reason,0.6332000000000001,0.7,0.27151014714002863,0.728,0.5170777786970139,0.5337828099727631,0.14777279867065723,0.58,0.66,0.484,0.176,0.575138889348507
deepseek-v3.1,Variable_Renaming_Description,Description_Vague,0.664,0.75,0.2574956310308973,0.772,0.4684823132902384,0.4668247699737549,0.16702748440060364,0.448,0.532,0.376,0.156,0.5662411566451192
llama70B,Data_With_Comments_Description,Description_Fewshot,0.4786,0.5,0.2967019379781669,0.524,0.485871741682291,0.49256543815135956,0.16107667423732402,0.488,0.596,0.304,0.292,0.4822358708411455
llama70B,Data_With_Comments_Description,Description_Simple,0.4742,0.475,0.296655288171305,0.5,0.4745133794695139,0.48444001376628876,0.17905246570766556,0.464,0.572,0.268,0.304,0.474356689734757
llama70B,Data_With_Comments_Description,Description_Reason,0.4578,0.45,0.2804089156927789,0.488,0.48738120806217194,0.48723743855953217,0.15312151302698584,0.468,0.612,0.284,0.328,0.472590604031086
llama70B,Data_Without_Comments_Description,Description_Fewshot,0.418,0.4,0.294611608732582,0.412,0.4699384080171585,0.4729727655649185,0.1655442079195987,0.46,0.608,0.24,0.368,0.44396920400857925
llama70B,Data_Without_Comments_Description,Description_Reason,0.42440000000000005,0.4,0.2859451695692725,0.432,0.46004054668545724,0.465975821018219,0.15704671572129042,0.416,0.56,0.204,0.356,0.4422202733427286
llama70B,Data_Without_Comments_Description,Description_Simple,0.396,0.375,0.3127682848371938,0.376,0.45408253906667234,0.46455851197242737,0.18881215829109144,0.416,0.624,0.208,0.416,0.4250412695333362
llama70B,Dataset_DeadCode_Description,Description_Fewshot,0.2544,0.2,0.28611298467563473,0.204,0.4140420458316803,0.40062934160232544,0.1703960448399131,0.328,0.676,0.104,0.572,0.33422102291584016
llama70B,Dataset_DeadCode_Description,Description_Reason,0.2538,0.2,0.2742180883895152,0.228,0.4116658265292644,0.39903397858142853,0.1669691966950031,0.292,0.688,0.104,0.584,0.3327329132646322
llama70B,Dataset_DeadCode_Description,Description_Detailed,0.25020000000000003,0.15,0.2799463520033794,0.208,0.4026418434306979,0.40418362617492676,0.1691807035983195,0.312,0.696,0.108,0.588,0.326420921715349
llama70B,Dataset_DeadCode_Description,Description_Simple,0.2344,0.1,0.2877092977294964,0.192,0.40038471011817456,0.37824292480945587,0.18401678587343143,0.328,0.688,0.104,0.584,0.31739235505908725
llama70B,Dataset_DeadCode_Description,Description_Vague,0.232,0.1,0.28815967795651076,0.192,0.280696282684803,0.26069213449954987,0.1521781899521189,0.104,0.76,0.028,0.732,0.2563481413424015
llama70B,Dataset_Encryption_Description,Description_Detailed,0.11120000000000001,0.0,0.18919450309139535,0.068,0.3454814266562462,0.32817527651786804,0.1497761458559554,0.144,0.828,0.02,0.808,0.2283407133281231
llama70B,Dataset_Encryption_Description,Description_Reason,0.12240000000000001,0.0,0.21099345961427335,0.076,0.3165567805469036,0.2823382765054703,0.15504746418916432,0.14,0.848,0.032,0.816,0.2194783902734518
llama70B,Dataset_Encryption_Description,Description_Fewshot,0.1026,0.0,0.1913719937712935,0.06,0.3220046918988228,0.2861790955066681,0.16301483267439984,0.156,0.848,0.032,0.816,0.2123023459494114
llama70B,Dataset_Encryption_Description,Description_Simple,0.1006,0.0,0.1786326957754375,0.052,0.2979308516904712,0.26265040040016174,0.15908917324588043,0.116,0.864,0.016,0.848,0.1992654258452356
llama70B,Dataset_Encryption_Description,Description_Vague,0.0992,0.0,0.17960890846503133,0.044,0.2744657513052225,0.24888590723276138,0.13806250697881867,0.068,0.912,0.012,0.9,0.18683287565261125
llama70B,Dataset_With_Comments_Description,Description_Fewshot,0.4786,0.5,0.2967019379781669,0.524,0.485871741682291,0.49256543815135956,0.16107667423732402,0.488,0.596,0.304,0.292,0.4822358708411455
llama70B,Dataset_With_Comments_Description,Description_Simple,0.4742,0.475,0.296655288171305,0.5,0.4745133794695139,0.48444001376628876,0.17905246570766556,0.464,0.572,0.268,0.304,0.474356689734757
llama70B,Dataset_With_Comments_Description,Description_Reason,0.4578,0.45,0.2804089156927789,0.488,0.48738120806217194,0.48723743855953217,0.15312151302698584,0.468,0.612,0.284,0.328,0.472590604031086
llama70B,Dataset_Without_Comments_Description,Description_Fewshot,0.418,0.4,0.294611608732582,0.412,0.4699384080171585,0.4729727655649185,0.1655442079195987,0.46,0.608,0.24,0.368,0.44396920400857925
llama70B,Dataset_Without_Comments_Description,Description_Reason,0.42440000000000005,0.4,0.2859451695692725,0.432,0.46004054668545724,0.465975821018219,0.15704671572129042,0.416,0.56,0.204,0.356,0.4422202733427286
