model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
llama70B,Dataset_Without_Comments_Description,Description_Simple,0.396,0.375,0.3127682848371938,0.376,0.45408253906667234,0.46455851197242737,0.18881215829109144,0.416,0.624,0.208,0.416,0.4250412695333362
llama70B,Variable_Renaming_Description,Description_Fewshot,0.2756,0.2,0.27343123449964524,0.224,0.42091883516311646,0.4261839985847473,0.16974695084991903,0.332,0.652,0.104,0.548,0.3482594175815582
llama70B,Variable_Renaming_Description,Description_Reason,0.26839999999999997,0.2,0.2833397960047265,0.216,0.42375741505622866,0.418915331363678,0.16670387624864638,0.304,0.728,0.124,0.604,0.3460787075281143
llama70B,Variable_Renaming_Description,Description_Simple,0.269,0.2,0.2963258341758275,0.228,0.4106641934812069,0.3935384601354599,0.18423315023585105,0.332,0.736,0.148,0.588,0.33983209674060344
llama70B,Variable_Renaming_Description,Description_Detailed,0.2734,0.2,0.29021102666852616,0.228,0.3913204281181097,0.37826572358608246,0.17514156508825285,0.276,0.736,0.12,0.616,0.3323602140590548
llama70B,Variable_Renaming_Description,Description_Vague,0.2698,0.2,0.2965770726135114,0.224,0.34554388231411576,0.3364139646291733,0.16867801163927312,0.192,0.768,0.092,0.676,0.30767194115705787
mistral,Data_With_Comments_Description,Description_Fewshot,0.354,0.35,0.29826833556380067,0.32,0.4594313650727272,0.4585167467594147,0.15981353028261888,0.404,0.604,0.164,0.44,0.4067156825363636
mistral,Data_With_Comments_Description,Description_Simple,0.34840000000000004,0.35,0.2830855701020453,0.32,0.4624510501027107,0.4526476263999939,0.15373073257838826,0.416,0.64,0.188,0.452,0.4054255250513554
mistral,Data_With_Comments_Description,Description_Reason,0.3236,0.32499999999999996,0.2938078283504373,0.264,0.4210418855808675,0.4111891835927963,0.15640043922341626,0.332,0.66,0.128,0.532,0.37232094279043376
mistral,Data_Without_Comments_Description,Description_Simple,0.246,0.15,0.2762679858398363,0.208,0.43606365859508517,0.42925332486629486,0.15138486921104571,0.328,0.664,0.1,0.564,0.3410318292975426
mistral,Data_Without_Comments_Description,Description_Fewshot,0.2184,0.1,0.25239144201022345,0.2,0.4106881289929152,0.40683118999004364,0.15526684783584763,0.296,0.664,0.08,0.584,0.3145440644964576
mistral,Data_Without_Comments_Description,Description_Reason,0.22419999999999998,0.15,0.24944811083670287,0.188,0.38250138907134534,0.38552479445934296,0.15339596646766487,0.204,0.712,0.052,0.66,0.30335069453567265
mistral,Dataset_DeadCode_Description,Description_Simple,0.12840000000000001,0.05,0.1899300924024416,0.08,0.39208883471041917,0.3878931701183319,0.1571920022008846,0.236,0.78,0.048,0.732,0.2602444173552096
mistral,Dataset_DeadCode_Description,Description_Fewshot,0.1232,0.025,0.19596367010239424,0.076,0.36859495875053105,0.3673352003097534,0.15865359763315226,0.18,0.792,0.024,0.768,0.24589747937526552
mistral,Dataset_DeadCode_Description,Description_Reason,0.1362,0.0,0.22095148788817875,0.096,0.3530678189173341,0.34680016338825226,0.15323369115207616,0.18,0.796,0.036,0.76,0.24463390945866703
mistral,Dataset_DeadCode_Description,Description_Detailed,0.12840000000000001,0.05,0.21645655453231255,0.092,0.3436377902291715,0.3428638130426407,0.15386414893882455,0.152,0.804,0.024,0.78,0.23601889511458576
mistral,Dataset_DeadCode_Description,Description_Vague,0.142,0.05,0.212452347598232,0.1,0.25368478325009347,0.24101166427135468,0.14350002973940487,0.06,0.848,0.004,0.844,0.19784239162504674
mistral,Dataset_Encryption_Description,Description_Simple,0.076,0.0,0.1457532160880164,0.04,0.3374406214132905,0.3252730518579483,0.1452644402757987,0.128,0.848,0.008,0.84,0.20672031070664526
mistral,Dataset_Encryption_Description,Description_Fewshot,0.0772,0.0,0.15420817098973713,0.028,0.3195360674113035,0.28971898555755615,0.16352682342862612,0.144,0.852,0.012,0.84,0.19836803370565176
mistral,Dataset_Encryption_Description,Description_Reason,0.0888,0.0,0.18015149180620182,0.048,0.29956253158301116,0.2791789323091507,0.1460249293834452,0.104,0.864,0.008,0.856,0.19418126579150558
mistral,Dataset_Encryption_Description,Description_Detailed,0.0746,0.0,0.16101192502420433,0.04,0.2862439882662147,0.2831677943468094,0.1511443496185947,0.092,0.876,0.004,0.872,0.18042199413310736
mistral,Dataset_Encryption_Description,Description_Vague,0.0682,0.0,0.13586301925100883,0.028,0.2834684797897935,0.2676771730184555,0.13651920528993475,0.068,0.912,0.004,0.908,0.17583423989489674
mistral,Dataset_With_Comments_Description,Description_Fewshot,0.354,0.35,0.29826833556380067,0.32,0.4594313650727272,0.4585167467594147,0.15981353028261888,0.404,0.604,0.164,0.44,0.4067156825363636
mistral,Dataset_With_Comments_Description,Description_Simple,0.34840000000000004,0.35,0.2830855701020453,0.32,0.4624510501027107,0.4526476263999939,0.15373073257838826,0.416,0.64,0.188,0.452,0.4054255250513554
mistral,Dataset_With_Comments_Description,Description_Reason,0.3236,0.32499999999999996,0.2938078283504373,0.264,0.4210418855808675,0.4111891835927963,0.15640043922341626,0.332,0.66,0.128,0.532,0.37232094279043376
mistral,Dataset_Without_Comments_Description,Description_Simple,0.246,0.15,0.2762679858398363,0.208,0.43606365859508517,0.42925332486629486,0.15138486921104571,0.328,0.664,0.1,0.564,0.3410318292975426
mistral,Dataset_Without_Comments_Description,Description_Fewshot,0.2184,0.1,0.25239144201022345,0.2,0.4106881289929152,0.40683118999004364,0.15526684783584763,0.296,0.664,0.08,0.584,0.3145440644964576
mistral,Dataset_Without_Comments_Description,Description_Reason,0.22419999999999998,0.15,0.24944811083670287,0.188,0.38250138907134534,0.38552479445934296,0.15339596646766487,0.204,0.712,0.052,0.66,0.30335069453567265
mistral,Variable_Renaming_Description,Description_Simple,0.12360000000000002,0.0,0.20160119047267552,0.072,0.3754805435538292,0.38086463510990143,0.15636716817565813,0.2,0.784,0.028,0.756,0.24954027177691462
mistral,Variable_Renaming_Description,Description_Detailed,0.115,0.0,0.2074246851269154,0.084,0.34293174393102527,0.3308318257331848,0.15468427264639123,0.176,0.812,0.036,0.776,0.22896587196551263
mistral,Variable_Renaming_Description,Description_Fewshot,0.12140000000000001,0.0,0.2054070105911675,0.056,0.33026912589743734,0.3403497487306595,0.1582747327306958,0.132,0.852,0.02,0.832,0.22583456294871868
mistral,Variable_Renaming_Description,Description_Reason,0.127,0.05,0.20494145505485217,0.076,0.3095972177758813,0.29642900824546814,0.1466828571200124,0.116,0.864,0.028,0.836,0.21829860888794064
mistral,Variable_Renaming_Description,Description_Vague,0.1258,0.0,0.20776034270283633,0.076,0.30935583294555546,0.3054010272026062,0.16502754475389914,0.152,0.82,0.024,0.796,0.21757791647277774
qwencoder32B,Data_With_Comments_Description,Description_Simple,0.421,0.4,0.30752073100849636,0.38,0.49072014905512334,0.5022965371608734,0.14790790756490915,0.508,0.552,0.22,0.332,0.45586007452756167
qwencoder32B,Data_With_Comments_Description,Description_Fewshot,0.3986,0.35,0.3180377964959511,0.364,0.4848623612523079,0.48800162971019745,0.14875769576409353,0.46,0.632,0.228,0.404,0.44173118062615396
qwencoder32B,Data_With_Comments_Description,Description_Reason,0.416,0.4,0.31315172041679734,0.372,0.37560151014477017,0.36703765392303467,0.18064312424358034,0.276,0.592,0.12,0.472,0.3958007550723851
qwencoder32B,Data_Without_Comments_Description,Description_Fewshot,0.396,0.4,0.3176853789521954,0.432,0.4722202370762825,0.48557204008102417,0.14681403538836524,0.464,0.608,0.252,0.356,0.4341101185381413
qwencoder32B,Data_Without_Comments_Description,Description_Simple,0.3728,0.4,0.288340354442454,0.352,0.48410080644488335,0.4821724593639374,0.15305350070127577,0.48,0.608,0.22,0.388,0.42845040322244166
qwencoder32B,Data_Without_Comments_Description,Description_Reason,0.3588,0.35,0.30555287594784636,0.296,0.3393966606259346,0.31576329469680786,0.16765148203784008,0.22,0.692,0.104,0.588,0.34909833031296733
qwencoder32B,Dataset_DeadCode_Description,Description_Simple,0.312,0.2,0.293011945148999,0.284,0.43967851063609126,0.4403737187385559,0.1562248122241335,0.356,0.624,0.132,0.492,0.37583925531804563
qwencoder32B,Dataset_DeadCode_Description,Description_Fewshot,0.301,0.2,0.30615192307088324,0.28,0.41635210866853595,0.41097235679626465,0.16261147152411068,0.332,0.668,0.14,0.528,0.35867605433426797
qwencoder32B,Dataset_DeadCode_Description,Description_Vague,0.3072,0.2,0.298811244768332,0.312,0.40256442241370677,0.4104003757238388,0.1701577768975183,0.328,0.672,0.156,0.516,0.35488221120685337
qwencoder32B,Dataset_DeadCode_Description,Description_Detailed,0.297,0.2,0.29072495592913933,0.308,0.36837373653799294,0.3575889766216278,0.15685071269440207,0.232,0.684,0.112,0.572,0.33268686826899646
qwencoder32B,Dataset_DeadCode_Description,Description_Reason,0.2788,0.2,0.28932777260401393,0.264,0.32618858921155336,0.31676776707172394,0.16165909299730322,0.172,0.7,0.068,0.632,0.3024942946057767
qwencoder32B,Dataset_Encryption_Description,Description_Detailed,0.18059999999999998,0.05,0.23386671417711413,0.124,0.3619513569250703,0.3540404587984085,0.15639419970060683,0.204,0.76,0.044,0.716,0.27127567846253514
qwencoder32B,Dataset_Encryption_Description,Description_Fewshot,0.17820000000000003,0.05,0.24276482447010317,0.132,0.3574338386654854,0.3393895626068115,0.14452802943159476,0.176,0.756,0.032,0.724,0.2678169193327427
qwencoder32B,Dataset_Encryption_Description,Description_Vague,0.1874,0.1,0.23509836239327572,0.16,0.3427775683924556,0.31810159981250763,0.15812446972872965,0.184,0.712,0.028,0.684,0.26508878419622783
qwencoder32B,Dataset_Encryption_Description,Description_Simple,0.15020000000000003,0.05,0.21984076055181395,0.108,0.3413148823902011,0.32256366312503815,0.15463026722491813,0.172,0.784,0.032,0.752,0.24575744119510057
qwencoder32B,Dataset_Encryption_Description,Description_Reason,0.167,0.05,0.22280260321638973,0.104,0.2596022481638938,0.24183661490678787,0.1392425756048387,0.056,0.856,0.008,0.848,0.2133011240819469
qwencoder32B,Dataset_With_Comments_Description,Description_Simple,0.421,0.4,0.30752073100849636,0.38,0.49072014905512334,0.5022965371608734,0.14790790756490915,0.508,0.552,0.22,0.332,0.45586007452756167
qwencoder32B,Dataset_With_Comments_Description,Description_Fewshot,0.3986,0.35,0.3180377964959511,0.364,0.4848623612523079,0.48800162971019745,0.14875769576409353,0.46,0.632,0.228,0.404,0.44173118062615396
qwencoder32B,Dataset_With_Comments_Description,Description_Reason,0.416,0.4,0.31315172041679734,0.372,0.37560151014477017,0.36703765392303467,0.18064312424358034,0.276,0.592,0.12,0.472,0.3958007550723851
qwencoder32B,Dataset_Without_Comments_Description,Description_Fewshot,0.396,0.4,0.3176853789521954,0.432,0.4722202370762825,0.48557204008102417,0.14681403538836524,0.464,0.608,0.252,0.356,0.4341101185381413
qwencoder32B,Dataset_Without_Comments_Description,Description_Simple,0.3728,0.4,0.288340354442454,0.352,0.48410080644488335,0.4821724593639374,0.15305350070127577,0.48,0.608,0.22,0.388,0.42845040322244166
qwencoder32B,Dataset_Without_Comments_Description,Description_Reason,0.3588,0.35,0.30555287594784636,0.296,0.3393966606259346,0.31576329469680786,0.16765148203784008,0.22,0.692,0.104,0.588,0.34909833031296733
qwencoder32B,Variable_Renaming_Description,Description_Simple,0.2936,0.2,0.3080244146167638,0.26,0.407213902041316,0.4069550484418869,0.16730260785787895,0.292,0.648,0.1,0.548,0.350406951020658
qwencoder32B,Variable_Renaming_Description,Description_Detailed,0.29,0.2,0.2835136681008519,0.304,0.4027851594872773,0.40082262456417084,0.17948632297027187,0.32,0.656,0.14,0.516,0.34639257974363863
qwencoder32B,Variable_Renaming_Description,Description_Fewshot,0.2818,0.15,0.30844571645591057,0.268,0.40894942795485256,0.4081922620534897,0.1646097441698592,0.3,0.632,0.1,0.532,0.34537471397742625
qwencoder32B,Variable_Renaming_Description,Description_Vague,0.2896,0.2,0.2936866357190943,0.244,0.39850346916168927,0.39368802309036255,0.17867984631574368,0.32,0.684,0.124,0.56,0.34405173458084465
qwencoder32B,Variable_Renaming_Description,Description_Reason,0.2818,0.2,0.2845325288960825,0.228,0.2885047886520624,0.263252317905426,0.161265755456414,0.108,0.768,0.052,0.716,0.28515239432603123
starchat,Data_With_Comments_Description,Description_Simple,0.1926,0.025,0.25470618367051867,0.132,0.4734039534032345,0.47220130264759064,0.15921501336901536,0.448,0.572,0.076,0.496,0.33300197670161724
starchat,Data_With_Comments_Description,Description_Fewshot,0.1724,0.0,0.24190543606955178,0.12,0.4358712156862021,0.43531695008277893,0.13952372352953138,0.344,0.672,0.068,0.604,0.304135607843101
starchat,Data_With_Comments_Description,Description_Reason,0.1656,0.0,0.2460013008095689,0.124,0.277005979757756,0.2493506446480751,0.13676949635545696,0.084,0.808,0.008,0.8,0.22130298987887798
starchat,Data_Without_Comments_Description,Description_Simple,0.1374,0.0,0.22704898149958744,0.092,0.4773221002817154,0.4769790768623352,0.15722255007662764,0.444,0.52,0.028,0.492,0.3073610501408577
starchat,Data_Without_Comments_Description,Description_Fewshot,0.12440000000000001,0.0,0.20636046132919939,0.064,0.4439649635106325,0.45609530806541443,0.14299367964385182,0.388,0.644,0.048,0.596,0.28418248175531624
starchat,Data_Without_Comments_Description,Description_Reason,0.1388,0.0,0.20931927765975117,0.068,0.2687364018261433,0.2525234669446945,0.12507201289575542,0.06,0.88,0.004,0.876,0.20376820091307163
starchat,Dataset_DeadCode_Description,Description_Simple,0.1316,0.0,0.23371230177292768,0.088,0.4294221036732197,0.42786021530628204,0.15843091084321645,0.324,0.7,0.056,0.644,0.28051105183660985
starchat,Dataset_DeadCode_Description,Description_Fewshot,0.1384,0.0,0.22866009708735804,0.088,0.4063599912077189,0.4062342196702957,0.15659105855473185,0.284,0.676,0.024,0.652,0.27237999560385945
starchat,Dataset_DeadCode_Description,Description_Vague,0.13240000000000002,0.0,0.22611996815849766,0.108,0.39820317013561723,0.4019705504179001,0.15932141597783633,0.284,0.688,0.04,0.648,0.26530158506780865
starchat,Dataset_DeadCode_Description,Description_Detailed,0.1308,0.0,0.21970744184027996,0.088,0.3664572612270713,0.36722998321056366,0.16292361258376747,0.212,0.78,0.04,0.74,0.24862863061353563
starchat,Dataset_DeadCode_Description,Description_Reason,0.1584,0.0,0.2376329943421157,0.104,0.24612827049195765,0.23198343813419342,0.11643135698151187,0.036,0.868,0.004,0.864,0.20226413524597883
starchat,Dataset_Encryption_Description,Description_Simple,0.067,0.0,0.1460171222836555,0.028,0.36360054133087394,0.3582697659730911,0.1561018846368954,0.196,0.776,0.0,0.776,0.21530027066543697
starchat,Dataset_Encryption_Description,Description_Fewshot,0.0702,0.0,0.15434364256424687,0.036,0.3459801570475102,0.3411591500043869,0.14066840104647305,0.152,0.828,0.008,0.82,0.20809007852375508
starchat,Dataset_Encryption_Description,Description_Vague,0.06380000000000001,0.0,0.16321629820578581,0.024,0.33949373160302637,0.3358282297849655,0.1306189411004171,0.108,0.884,0.008,0.876,0.2016468658015132
starchat,Dataset_Encryption_Description,Description_Detailed,0.053399999999999996,0.0,0.12672190023827767,0.016,0.2607653959877789,0.2447069063782692,0.1332266888811951,0.048,0.936,0.0,0.936,0.15708269799388946
starchat,Dataset_Encryption_Description,Description_Reason,0.0842,0.0,0.19036901008304896,0.04,0.2064550691470504,0.1954772174358368,0.09420525583797686,0.008,0.952,0.0,0.952,0.1453275345735252
starchat,Dataset_With_Comments_Description,Description_Simple,0.1926,0.025,0.25470618367051867,0.132,0.4734039534032345,0.47220130264759064,0.15921501336901536,0.448,0.572,0.076,0.496,0.33300197670161724
starchat,Dataset_With_Comments_Description,Description_Fewshot,0.1724,0.0,0.24190543606955178,0.12,0.4358712156862021,0.43531695008277893,0.13952372352953138,0.344,0.672,0.068,0.604,0.304135607843101
starchat,Dataset_With_Comments_Description,Description_Reason,0.1656,0.0,0.2460013008095689,0.124,0.277005979757756,0.2493506446480751,0.13676949635545696,0.084,0.808,0.008,0.8,0.22130298987887798
starchat,Dataset_Without_Comments_Description,Description_Simple,0.1374,0.0,0.22704898149958744,0.092,0.4773221002817154,0.4769790768623352,0.15722255007662764,0.444,0.52,0.028,0.492,0.3073610501408577
starchat,Dataset_Without_Comments_Description,Description_Fewshot,0.12440000000000001,0.0,0.20636046132919939,0.064,0.4439649635106325,0.45609530806541443,0.14299367964385182,0.388,0.644,0.048,0.596,0.28418248175531624
starchat,Dataset_Without_Comments_Description,Description_Reason,0.1388,0.0,0.20931927765975117,0.068,0.2687364018261433,0.2525234669446945,0.12507201289575542,0.06,0.88,0.004,0.876,0.20376820091307163
starchat,Variable_Renaming_Description,Description_Simple,0.1298,0.0,0.22383467113027866,0.096,0.4189161520451307,0.4292611926794052,0.1710342208585593,0.38,0.628,0.052,0.576,0.27435807602256534
starchat,Variable_Renaming_Description,Description_Fewshot,0.141,0.0,0.2388493248891443,0.108,0.40682946842908857,0.40335968136787415,0.15565742514245665,0.308,0.656,0.036,0.62,0.27391473421454426
starchat,Variable_Renaming_Description,Description_Vague,0.1414,0.0,0.2341282554498709,0.092,0.401586841955781,0.39106063544750214,0.1531869413905761,0.3,0.688,0.04,0.648,0.2714934209778905
starchat,Variable_Renaming_Description,Description_Detailed,0.12940000000000002,0.0,0.2154660994216956,0.108,0.403206242993474,0.3940220922231674,0.15507073937066168,0.304,0.708,0.06,0.648,0.266303121496737
starchat,Variable_Renaming_Description,Description_Reason,0.141,0.0,0.24010206163213177,0.096,0.22094365548342465,0.20049181580543518,0.11296029232381288,0.024,0.88,0.0,0.88,0.18097182774171233
starcoder,Data_With_Comments_Description,Description_Reason,0.018,0.0,0.08072174428244226,0.012,0.14933937236387282,0.13218218833208084,0.12917673887514808,0.016,0.972,0.0,0.972,0.0836696861819364
starcoder,Data_With_Comments_Description,Description_Simple,0.0136,0.0,0.07235357627650482,0.016,0.13982257492467762,0.12787006050348282,0.12103930380611237,0.016,0.968,0.0,0.968,0.07671128746233881
starcoder,Data_With_Comments_Description,Description_Fewshot,0.0108,0.0,0.07268672506035748,0.008,0.1130995913092047,0.09447364136576653,0.10708030327990326,0.02,0.972,0.0,0.972,0.06194979565460235
starcoder,Data_Without_Comments_Description,Description_Simple,0.022600000000000002,0.0,0.11983004631560484,0.024,0.1371203935444355,0.11475422605872154,0.11728396352243887,0.008,0.976,0.004,0.972,0.07986019677221776
starcoder,Data_Without_Comments_Description,Description_Reason,0.020399999999999998,0.0,0.09666354017932512,0.012,0.1373374109622091,0.11212930828332901,0.12551034050188917,0.016,0.972,0.0,0.972,0.07886870548110456
starcoder,Data_Without_Comments_Description,Description_Fewshot,0.0162,0.0,0.07904150808277889,0.012,0.12200294268876315,0.08777450770139694,0.12666825267814924,0.028,0.96,0.0,0.96,0.06910147134438158
starcoder,Dataset_DeadCode_Description,Description_Vague,0.0752,0.0,0.1620029629358673,0.04,0.4341961776316166,0.4203413277864456,0.15445711497696488,0.344,0.672,0.028,0.644,0.2546980888158083
starcoder,Dataset_DeadCode_Description,Description_Detailed,0.0712,0.0,0.17207719198080842,0.04,0.3942961174268276,0.4010360389947891,0.18152699871829914,0.272,0.72,0.016,0.704,0.23274805871341378
starcoder,Dataset_DeadCode_Description,Description_Simple,0.0718,0.0,0.16605649641010736,0.036,0.13694949285406618,0.12348215281963348,0.11416965313487007,0.008,0.956,0.0,0.956,0.1043747464270331
starcoder,Dataset_DeadCode_Description,Description_Reason,0.07479999999999999,0.0,0.15415887908258805,0.044,0.12061753681395203,0.10380791127681732,0.11029375160831675,0.0,0.956,0.0,0.956,0.09770876840697601
starcoder,Dataset_DeadCode_Description,Description_Fewshot,0.07740000000000001,0.0,0.16822377953190804,0.032,0.10658414135314524,0.08711113035678864,0.11122387932769355,0.008,0.96,0.0,0.96,0.09199207067657263
starcoder,Dataset_Encryption_Description,Description_Vague,0.040600000000000004,0.0,0.11154209967541404,0.012,0.39257094671577214,0.3710359036922455,0.15995212312868248,0.284,0.72,0.008,0.712,0.21658547335788608
starcoder,Dataset_Encryption_Description,Description_Detailed,0.042,0.0,0.1256821387469198,0.016,0.3351768067292869,0.321419358253479,0.1712629483191676,0.204,0.788,0.004,0.784,0.18858840336464344
starcoder,Dataset_Encryption_Description,Description_Simple,0.0448,0.0,0.1279568677328419,0.028,0.1279677807521075,0.11470840498805046,0.10650671274130366,0.008,0.964,0.0,0.964,0.08638389037605375
starcoder,Dataset_Encryption_Description,Description_Reason,0.052399999999999995,0.0,0.1267842261482082,0.024,0.11850813847407698,0.10393483191728592,0.11350689440607967,0.004,0.972,0.0,0.972,0.0854540692370385
starcoder,Dataset_Encryption_Description,Description_Fewshot,0.053,0.0,0.14429483705247392,0.024,0.10726293738000095,0.08522804081439972,0.1192701982933982,0.016,0.96,0.0,0.96,0.08013146869000047
starcoder,Dataset_With_Comments_Description,Description_Reason,0.018,0.0,0.08072174428244226,0.012,0.14933937236387282,0.13218218833208084,0.12917673887514808,0.016,0.972,0.0,0.972,0.0836696861819364
starcoder,Dataset_With_Comments_Description,Description_Simple,0.0136,0.0,0.07235357627650482,0.016,0.13982257492467762,0.12787006050348282,0.12103930380611237,0.016,0.968,0.0,0.968,0.07671128746233881
starcoder,Dataset_With_Comments_Description,Description_Fewshot,0.0108,0.0,0.07268672506035748,0.008,0.1130995913092047,0.09447364136576653,0.10708030327990326,0.02,0.972,0.0,0.972,0.06194979565460235
starcoder,Dataset_Without_Comments_Description,Description_Simple,0.022600000000000002,0.0,0.11983004631560484,0.024,0.1371203935444355,0.11475422605872154,0.11728396352243887,0.008,0.976,0.004,0.972,0.07986019677221776
starcoder,Dataset_Without_Comments_Description,Description_Reason,0.020399999999999998,0.0,0.09666354017932512,0.012,0.1373374109622091,0.11212930828332901,0.12551034050188917,0.016,0.972,0.0,0.972,0.07886870548110456
starcoder,Dataset_Without_Comments_Description,Description_Fewshot,0.0162,0.0,0.07904150808277889,0.012,0.12200294268876315,0.08777450770139694,0.12666825267814924,0.028,0.96,0.0,0.96,0.06910147134438158
starcoder,Variable_Renaming_Description,Description_Vague,0.0922,0.0,0.18162918267723388,0.056,0.4318801956772804,0.4288770258426666,0.1611666894621961,0.344,0.648,0.024,0.624,0.26204009783864024
starcoder,Variable_Renaming_Description,Description_Detailed,0.0888,0.0,0.1766764274033183,0.048,0.41474091923236844,0.3980076014995575,0.17321731015511743,0.336,0.672,0.028,0.644,0.2517704596161842
starcoder,Variable_Renaming_Description,Description_Simple,0.0938,0.0,0.19253976212720322,0.064,0.14898793570511043,0.1341220960021019,0.11570121937451755,0.008,0.944,0.008,0.936,0.12139396785255521
starcoder,Variable_Renaming_Description,Description_Reason,0.0996,0.0,0.1875628961175424,0.056,0.13314010610431432,0.11359088867902756,0.11863299152200946,0.008,0.944,0.004,0.94,0.11637005305215715
starcoder,Variable_Renaming_Description,Description_Fewshot,0.07579999999999999,0.0,0.17833776941523072,0.044,0.09780382872000337,0.07142558321356773,0.11038840836140916,0.008,0.948,0.0,0.948,0.08680191436000168
